Hospital Name,Lab Name,Address,City,Postcode,"Lab type 
(Academic, Public, Private)","Offer PD-L1 Testing 
(Yes/No/Validating)",When did you start testing?,"PD-L1 Testing Performed 
(In house/ Send out)",Name of Sendout Lab,"PD-L1 Diagnostic algorithm 
(Individual, Panel, Reflex)","PD-L1 volume (NSCLC) 
for February to March","EGFR volume (NSCLC) 
for February to March","ALK volume (NSCLC) 
for February to March","
NSCLC volume 
for February to March","Number of Methods 
for PD-L1","Methodology 
(LDT/Kit/Both)","LDT PD-L1 
Antibody(ies)","PD-L1 Kit 
28-8 Dako Kit ","PD-L1 Kit 
22C3 Dako Kit ","PD-L1 Kit 
SP263 
Ventana Kit ","Laboratory Algorithm  
(Parallel, Sequential)",PD-L1 Platform/ Autostainer 1,PD-L1 Platform/ Autostainer 2,"Clinical cut-off
(50%, 10%, 1%, 
Reporting percentage tumor cells expressed)","PD-L1 Expression level at
?1%","PD-L1 Expression level at
overall ?50% ","Positivity for 
1% cut-off","Positivity for 
5% cut-off","Positivity for 
15% cut-off","Positivity for 
20% cut-off","Positivity for 
25% cut-off","Positivity for 
50% cut-off","PD-L1 
Average TAT",Report Style,PD-L1 Funding (Local/ Pharma),comments,filename,worksheetname,Country,data_collection_period_start,date_collection_period_end,Disease,worksheet,country,year,firstdate,seconddate
Hôpital européen Georges-Pompidou,Laboratoire de Biochimie/ UF de Pharmacogénétique et Oncologie Moléculaire HEGP,"20, rue Leblanc",Paris cedex 15,75908.0,Hospital,Yes,2016,In house,,Individual,35.0,119.0,119.0,119.0,2.0,LDT,"28-8, E1L3N",,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,Over 50%,-,-,-,-,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2027,France,2/11/2017,4/10/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Edouard Herriot,Laboratoire d'Anatomie Pathologique/ UF biologie des tumeurs,5 place d'Arsonval,Lyon Cedex 03,69437.0,Academic,Yes,2016,In house,,Individual,28.0,101.0,101.0,101.0,1.0,Kit,,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,49%,9%,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2028,France,2/12/2017,4/11/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
"CHU de Nancy, Hôpital de Brabois",Service de Génétique,Allé du Morvan,Nancy,54035.0,Hospital,Validating,,In house,,,,100.0,100.0,100.0,2.0,LDT,E1L3N; SP142,,,,,Ventana,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2029,France,2/13/2017,4/12/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Site Hôpital Bichat,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Département de Pathologie Beaujon-Bichat,46 rue Henry Huchard,Paris cedex 18,75877.0,Hospital,Yes,2016,In house,,Individual,28.0,95.0,95.0,95.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,49%,8%,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2030,France,2/14/2017,4/13/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
CHU de Bordeaux Hôpital Haut-Lévêque ,Service de Biologie des tumeurs,CHU de Bordeaux Hôpital Haut-Lévêque ,Bordeaux,33604.0,Academic,Validating,,In house,,,,93.0,93.0,93.0,1.0,LDT,22C3,,,,,Ventana,Leica,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2031,France,2/15/2017,4/14/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Gui de Chauliac,Département de Biopathologie cellulaire et tissulaire des tumeurs/Laboratoire d'anatomie et de cytologie pathologique,80 avenue Augustin fliche,Montpellier Cedex 05,34295.0,Academic,Validating,,In house,,,,88.0,88.0,88.0,2.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2032,France,2/16/2017,4/15/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Centre Henri Becquerel,"Rue d'Amiens, CS11516 ",,Rouen Cedex,76038.0,Private,Yes,Feb-17,In house,,Reflex,50.0,87.0,87.0,87.0,3.0,Both,E1L3N,Yes,,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,40%,,70%,-,-,50%,-,-,2.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2033,France,2/17/2017,4/16/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Saint-Antoine,Laboratoire d'anatomopathologie/ Service d'anatomie et de Cytologie pathologiques,184 rue du Faubourg Saint Antoine,Paris cedex 12,75571.0,Hospital,Yes,2016,In house,,Individual,27.0,86.0,86.0,86.0,3.0,Both,28-8; E1L3N,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,Over 50%,-,-,-,-,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2034,France,2/18/2017,4/17/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital du Bocage,"Laboratoire d'anatomopathologie et de biologie moléculaire /chromosomique et moléculaire/ Plateau technique de Biologie, Service de pathologie",2 rue Angélique Ducoudray BP,Dijon,21079.0,Academic,Yes,2016,In house,,Individual,19.0,86.0,86.0,86.0,1.0,Kit,,,,Yes,Sequential,Ventane,,Reporting percentage tumor cells expressed,52%,7%,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2035,France,2/19/2017,4/18/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Institut de Cancérologie de Lorraine-Alexis Vautrin,Laboratoire d'anatomopathologie/Service de Biopathologie - Unité d'anatomie pathologique,Avenue de bourgogne CS 30519,Vandoeuvre-lès-Nancy,54519.0,Hospital,Yes,Jan-17,In house,,Reflex,21.0,85.0,85.0,85.0,3.0,Both,E1L3N; SP142,Yes,,,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,48%,10%,45%,-,-,-,-,15%,3.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2036,France,2/20/2017,4/19/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Institut Paoli Calmettes,Laboratoire d'anatomopathologie et de biologie moléculaire/Département de Bio-pathologie,232 Boulevard Saint Marguerite,Marseille Cedex 09,13273.0,Hospital,Yes,Jan-17,In house,,Individual,17.0,85.0,85.0,85.0,3.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,,,,,11%,,3.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2037,France,2/21/2017,4/20/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Institut Bergonié,Département de Biopathologie/Unité de Pathologie Moléculaire,229 cours de l'Argonne,Bordeaux,33000.0,Hospital,Yes,Feb-17,In house,,Individual,25.0,83.0,83.0,83.0,4.0,Both,SP142,Yes,Yes,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,,,,,,,2.0,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2038,France,2/22/2017,4/21/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
"CHU de Nantes, Hôpital Hôtel Dieu","Laboratoire de Biochimie, Institut de Biologie",9 quai Moncousu,Nantes,44093.0,Academic,Yes,Jan-17,In house,,Reflex,40.0,81.0,81.0,81.0,4.0,Both,SP142; 22C3,Yes,,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,,,,,11%,,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2039,France,2/23/2017,4/22/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Faculté de Médecine Nord,Laboratoire d'anatomopathologie et de biologie moléculaire,Boulevard Pierre Dramard,Marseille Cedex 20,13916.0,Hospital,Yes,Jan-17,In house,,Individual,23.0,76.0,76.0,76.0,3.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,52%,,,,,,10%,,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2040,France,2/24/2017,4/23/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Institut Curie,Laboratoire d'anatomopathologie/Département Biologie des tumeurs,26 rue d'Ulm,Paris,75005.0,Hospital,Yes,Jan-17,In house,,Individual,22.0,67.0,67.0,67.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,50%,,,,,,3.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2041,France,2/25/2017,4/24/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
